freq,unit,age,sex,geo,value,year
A,YR,Y_LT1,F,CH07,85.3,2020
A,YR,Y_LT1,F,CH07,87.9,2021
A,YR,Y_LT1,F,CH07,86.7,2022
A,YR,Y_LT1,F,CH07,86.6,2023
A,YR,Y_LT1,F,CY00,83.4,2012
A,YR,Y_LT1,F,CY00,85,2013
A,YR,Y_LT1,F,CY00,84.3,2014
A,YR,Y_LT1,F,CY00,83.7,2015
A,YR,Y_LT1,F,CY00,84.9,2016
A,YR,Y_LT1,F,CY00,84.2,2017
A,YR,Y_LT1,F,CY00,84.8,2018
A,YR,Y_LT1,F,CY00,84.4,2019
A,YR,Y_LT1,F,CY00,84.4,2020
A,YR,Y_LT1,F,CY00,83.4,2021
A,YR,Y_LT1,F,CY00,83.4,2022
A,YR,Y_LT1,F,CY00,84.9,2023
A,YR,Y_LT1,F,CZ01,82.1,2012
A,YR,Y_LT1,F,CZ01,82.5,2013
A,YR,Y_LT1,F,CZ01,82.6,2014
A,YR,Y_LT1,F,CZ01,82.7,2015
A,YR,Y_LT1,F,CZ01,82.9,2016
A,YR,Y_LT1,F,CZ01,83.1,2017
A,YR,Y_LT1,F,CZ01,83.1,2018
A,YR,Y_LT1,F,CZ01,83.2,2019
A,YR,Y_LT1,F,CZ01,82.6,2020
A,YR,Y_LT1,F,CZ01,82,2021
A,YR,Y_LT1,F,CZ01,83.4,2022
A,YR,Y_LT1,F,CZ01,84.1,2023
A,YR,Y_LT1,F,CZ02,80.9,2012
A,YR,Y_LT1,F,CZ02,81.2,2013
A,YR,Y_LT1,F,CZ02,81.9,2014
A,YR,Y_LT1,F,CZ02,81.5,2015
A,YR,Y_LT1,F,CZ02,81.9,2016
A,YR,Y_LT1,F,CZ02,81.8,2017
A,YR,Y_LT1,F,CZ02,81.8,2018
A,YR,Y_LT1,F,CZ02,82.2,2019
A,YR,Y_LT1,F,CZ02,81.1,2020
A,YR,Y_LT1,F,CZ02,80.5,2021
A,YR,Y_LT1,F,CZ02,82.2,2022
A,YR,Y_LT1,F,CZ02,82.8,2023
A,YR,Y_LT1,F,CZ03,81.3,2012
A,YR,Y_LT1,F,CZ03,81.1,2013
A,YR,Y_LT1,F,CZ03,82,2014
A,YR,Y_LT1,F,CZ03,81.3,2015
A,YR,Y_LT1,F,CZ03,82.1,2016
A,YR,Y_LT1,F,CZ03,82.1,2017
A,YR,Y_LT1,F,CZ03,81.9,2018
A,YR,Y_LT1,F,CZ03,82.4,2019
A,YR,Y_LT1,F,CZ03,81.6,2020
A,YR,Y_LT1,F,CZ03,80.6,2021
A,YR,Y_LT1,F,CZ03,81.8,2022
A,YR,Y_LT1,F,CZ03,82.9,2023
A,YR,Y_LT1,F,CZ04,79.5,2012
A,YR,Y_LT1,F,CZ04,79.5,2013
A,YR,Y_LT1,F,CZ04,80,2014
A,YR,Y_LT1,F,CZ04,79.8,2015
A,YR,Y_LT1,F,CZ04,80.2,2016
A,YR,Y_LT1,F,CZ04,80,2017
A,YR,Y_LT1,F,CZ04,80,2018
A,YR,Y_LT1,F,CZ04,80.5,2019
A,YR,Y_LT1,F,CZ04,79.4,2020
A,YR,Y_LT1,F,CZ04,78.4,2021
A,YR,Y_LT1,F,CZ04,80,2022
A,YR,Y_LT1,F,CZ04,81.1,2023
A,YR,Y_LT1,F,CZ05,81.2,2012
A,YR,Y_LT1,F,CZ05,81.6,2013
A,YR,Y_LT1,F,CZ05,82.3,2014
A,YR,Y_LT1,F,CZ05,82,2015
A,YR,Y_LT1,F,CZ05,82.3,2016
A,YR,Y_LT1,F,CZ05,82.4,2017
A,YR,Y_LT1,F,CZ05,82.3,2018
A,YR,Y_LT1,F,CZ05,82.3,2019
A,YR,Y_LT1,F,CZ05,81.7,2020
A,YR,Y_LT1,F,CZ05,80.4,2021
A,YR,Y_LT1,F,CZ05,82.1,2022
A,YR,Y_LT1,F,CZ05,83,2023
A,YR,Y_LT1,F,CZ06,82.1,2012
A,YR,Y_LT1,F,CZ06,82.3,2013
A,YR,Y_LT1,F,CZ06,82.9,2014
A,YR,Y_LT1,F,CZ06,82.5,2015
A,YR,Y_LT1,F,CZ06,82.9,2016
A,YR,Y_LT1,F,CZ06,82.9,2017
A,YR,Y_LT1,F,CZ06,82.9,2018
A,YR,Y_LT1,F,CZ06,82.9,2019
A,YR,Y_LT1,F,CZ06,81.9,2020
A,YR,Y_LT1,F,CZ06,81.2,2021
A,YR,Y_LT1,F,CZ06,82.5,2022
A,YR,Y_LT1,F,CZ06,83.5,2023
A,YR,Y_LT1,F,CZ07,81.7,2012
A,YR,Y_LT1,F,CZ07,81.5,2013
A,YR,Y_LT1,F,CZ07,82.3,2014
A,YR,Y_LT1,F,CZ07,81.7,2015
A,YR,Y_LT1,F,CZ07,82.4,2016
A,YR,Y_LT1,F,CZ07,82.1,2017
A,YR,Y_LT1,F,CZ07,82.5,2018
A,YR,Y_LT1,F,CZ07,82.6,2019
A,YR,Y_LT1,F,CZ07,81.3,2020
A,YR,Y_LT1,F,CZ07,80.8,2021
A,YR,Y_LT1,F,CZ07,82.2,2022
A,YR,Y_LT1,F,CZ07,83,2023
A,YR,Y_LT1,F,CZ08,80.2,2012
A,YR,Y_LT1,F,CZ08,80.5,2013
A,YR,Y_LT1,F,CZ08,81,2014
A,YR,Y_LT1,F,CZ08,80.9,2015
A,YR,Y_LT1,F,CZ08,81.4,2016
A,YR,Y_LT1,F,CZ08,81.2,2017
A,YR,Y_LT1,F,CZ08,81.2,2018
A,YR,Y_LT1,F,CZ08,81.4,2019
A,YR,Y_LT1,F,CZ08,80.4,2020
A,YR,Y_LT1,F,CZ08,79.6,2021
