nuts2_id,year,sex,pop
ITF5,2010,F,285092
ITF5,2011,F,284205
ITF5,2012,F,283517
ITF5,2013,F,282844
ITF5,2014,F,281908
ITF5,2015,F,280768
ITF5,2016,F,279440
ITF5,2017,F,278136
ITF5,2018,F,276855
ITF5,2019,F,274697
ITF5,2020,F,272150
ITF5,2021,F,267989
ITF5,2022,F,266478
ITF5,2023,F,265185
ITF6,2000,F,993679
ITF6,2001,F,988043
ITF6,2002,F,982158
ITF6,2003,F,977649
ITF6,2004,F,977855
ITF6,2005,F,972816
ITF6,2006,F,967223
ITF6,2007,F,961660
ITF6,2008,F,964314
ITF6,2009,F,962548
ITF6,2010,F,961017
ITF6,2011,F,960342
ITF6,2012,F,959276
ITF6,2013,F,956729
ITF6,2014,F,955049
ITF6,2015,F,952347
ITF6,2016,F,949429
ITF6,2017,F,947124
ITF6,2018,F,943070
ITF6,2019,F,937933
ITF6,2020,F,927732
ITF6,2021,F,907985
ITF6,2022,F,908489
ITF6,2023,F,904219
ITG1,2000,F,2417904
ITG1,2001,F,2407456
ITG1,2002,F,2400981
ITG1,2003,F,2399109
ITG1,2004,F,2406328
ITG1,2005,F,2410274
ITG1,2006,F,2413104
ITG1,2007,F,2415277
ITG1,2008,F,2424173
ITG1,2009,F,2431444
ITG1,2010,F,2438996
ITG1,2011,F,2448415
ITG1,2012,F,2450863
ITG1,2013,F,2447967
ITG1,2014,F,2443388
ITG1,2015,F,2439786
ITG1,2016,F,2431322
ITG1,2017,F,2419673
ITG1,2018,F,2402871
ITG1,2019,F,2387653
ITG1,2020,F,2370942
ITG1,2021,F,2346759
ITG1,2022,F,2353773
ITG1,2023,F,2345397
ITG2,2000,F,804127
ITG2,2001,F,801406
ITG2,2002,F,798424
ITG2,2003,F,799526
ITG2,2004,F,801165
ITG2,2005,F,802657
ITG2,2006,F,804215
ITG2,2007,F,805522
ITG2,2008,F,807990
ITG2,2009,F,809583
ITG2,2010,F,809621
ITG2,2011,F,810717
ITG2,2012,F,810010
ITG2,2013,F,809929
ITG2,2014,F,809049
ITG2,2015,F,807308
ITG2,2016,F,805066
ITG2,2017,F,802979
ITG2,2018,F,801369
ITG2,2019,F,797352
ITG2,2020,F,791696
ITG2,2021,F,778110
ITG2,2022,F,778670
ITG2,2023,F,774245
ITH1,2000,F,225456
ITH1,2001,F,226758
ITH1,2002,F,227778
ITH1,2003,F,229695
ITH1,2004,F,231793
ITH1,2005,F,234360
ITH1,2006,F,237056
ITH1,2007,F,239451
ITH1,2008,F,242214
ITH1,2009,F,244369
ITH1,2010,F,246294
ITH1,2011,F,248263
ITH1,2012,F,250006
ITH1,2013,F,251930
ITH1,2014,F,254015
ITH1,2015,F,255395
ITH1,2016,F,256541
ITH1,2017,F,258495
ITH1,2018,F,260330
ITH1,2019,F,262371
ITH1,2020,F,263592
ITH1,2021,F,265445
ITH1,2022,F,264129
ITH1,2023,F,264748
ITH2,2000,F,228774
ITH2,2001,F,230755
ITH2,2002,F,232180
ITH2,2003,F,234972
ITH2,2004,F,237944
ITH2,2005,F,241344
ITH2,2006,F,243877
ITH2,2007,F,246211
ITH2,2008,F,249385
ITH2,2009,F,252413
ITH2,2010,F,254412
ITH2,2011,F,256322
ITH2,2012,F,257929
ITH2,2013,F,260203
ITH2,2014,F,261974
ITH2,2015,F,262691
ITH2,2016,F,263737
ITH2,2017,F,264384
ITH2,2018,F,265780
ITH2,2019,F,266908
ITH2,2020,F,267914
ITH2,2021,F,266766
ITH2,2022,F,266340
ITH2,2023,F,267681
ITH3,2000,F,2180788
ITH3,2001,F,2193698
ITH3,2002,F,2204840
ITH3,2003,F,2223995
ITH3,2004,F,2254892
ITH3,2005,F,2284325
ITH3,2006,F,2301661
ITH3,2007,F,2315289
ITH3,2008,F,2343046
ITH3,2009,F,2365185
ITH3,2010,F,2372779
ITH3,2011,F,2376641
ITH3,2012,F,2378385
ITH3,2013,F,2386548
ITH3,2014,F,2388940
ITH3,2015,F,2387794
ITH3,2016,F,2382953
ITH3,2017,F,2382146
ITH3,2018,F,2384300
ITH3,2019,F,2390898
ITH3,2020,F,2389717
ITH3,2021,F,2391165
ITH3,2022,F,2380743
ITH3,2023,F,2382754
ITH4,2000,F,564694
ITH4,2001,F,567142
ITH4,2002,F,569621
ITH4,2003,F,573160
ITH4,2004,F,576612
ITH4,2005,F,579769
ITH4,2006,F,581238
ITH4,2007,F,583371
ITH4,2008,F,588115
ITH4,2009,F,591994
ITH4,2010,F,592257
ITH4,2011,F,591618
ITH4,2012,F,590462
ITH4,2013,F,591317
ITH4,2014,F,591885
ITH4,2015,F,590625
ITH4,2016,F,588364
ITH4,2017,F,586908
ITH4,2018,F,587547
ITH4,2019,F,588663
ITH4,2020,F,586719
ITH4,2021,F,585861
ITH4,2022,F,582704
ITH4,2023,F,582902
ITH5,2001,F,1924914
ITH5,2002,F,1935483
ITH5,2003,F,1952176
ITH5,2004,F,1975552
ITH5,2005,F,2000978
ITH5,2006,F,2018312
ITH5,2007,F,2034170
ITH5,2008,F,2058255
ITH5,2009,F,2086033
ITH5,2010,F,2100633
ITH5,2011,F,2112531
ITH5,2012,F,2121275
ITH5,2013,F,2135295
ITH5,2014,F,2144008
ITH5,2015,F,2144659
ITH5,2016,F,2147522
ITH5,2017,F,2152079
ITH5,2018,F,2159179
ITH5,2019,F,2169647
ITH5,2020,F,2173781
ITH5,2021,F,2165988
ITH5,2022,F,2163535
ITH5,2023,F,2171006
ITI1,2000,F,1678518
ITI1,2001,F,1679902
ITI1,2002,F,1681631
ITI1,2003,F,1688812
ITI1,2004,F,1704606
ITI1,2005,F,1721072
ITI1,2006,F,1730704
ITI1,2007,F,1739307
ITI1,2008,F,1756635
ITI1,2009,F,1771984
ITI1,2010,F,1782038
ITI1,2011,F,1789991
ITI1,2012,F,1793194
ITI1,2013,F,1798311
ITI1,2014,F,1799152
ITI1,2015,F,1796865
ITI1,2016,F,1791879
ITI1,2017,F,1792459
ITI1,2018,F,1791476
ITI1,2019,F,1788031
ITI1,2020,F,1784318
ITI1,2021,F,1788550
ITI1,2022,F,1776806
ITI1,2023,F,1776898
ITI2,2000,F,396832
ITI2,2001,F,398485
ITI2,2002,F,399345
ITI2,2003,F,401568
ITI2,2004,F,406125
ITI2,2005,F,409881
ITI2,2006,F,412585
ITI2,2007,F,414132
ITI2,2008,F,418958
ITI2,2009,F,422929
ITI2,2010,F,424960
ITI2,2011,F,426541
ITI2,2012,F,426858
ITI2,2013,F,428135
ITI2,2014,F,427686
ITI2,2015,F,426009
ITI2,2016,F,424345
ITI2,2017,F,423330
ITI2,2018,F,421997
ITI2,2019,F,421451
ITI2,2020,F,419894
ITI2,2021,F,417708
ITI2,2022,F,415195
ITI2,2023,F,414273
ITI3,2001,F,702082
ITI3,2002,F,705540
ITI3,2003,F,711169
ITI3,2004,F,719303
ITI3,2005,F,725639
ITI3,2006,F,730078
ITI3,2007,F,733060
ITI3,2008,F,740816
ITI3,2009,F,748407
ITI3,2010,F,750020
ITI3,2011,F,750158
ITI3,2012,F,749722
ITI3,2013,F,750351
ITI3,2014,F,749365
ITI3,2015,F,747758
ITI3,2016,F,744554
ITI3,2017,F,742550
ITI3,2018,F,741129
ITI3,2019,F,739088
ITI3,2020,F,735691
ITI3,2021,F,729583
ITI3,2022,F,725470
ITI3,2023,F,724914
ITI4,2000,F,2459373
ITI4,2001,F,2455633
ITI4,2002,F,2453237
ITI4,2003,F,2461996
ITI4,2004,F,2483381
ITI4,2005,F,2510660
ITI4,2006,F,2527853
ITI4,2007,F,2549320
ITI4,2008,F,2582947
ITI4,2009,F,2615689
ITI4,2010,F,2642675
ITI4,2011,F,2666275
ITI4,2012,F,2687966
ITI4,2013,F,2727095
ITI4,2014,F,2751207
ITI4,2015,F,2762744
ITI4,2016,F,2774063
ITI4,2017,F,2783281
